candidat,id,erreur_inf,erreur_sup,rank,parti,nuance,img_url
Arnaud Montebourg,20211115_ow,2.0257,3.9743,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
Yannick Jadot,20211115_ow,6.4506,9.5494,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
Nathalie Arthaud,20211115_ow,0.4317,1.5683,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Michel Barnier,20211115_ow,7.3655,10.6345,7,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_michel_barnier.png
Florian Philippot,20211105_hi,0.5299,1.4701,16,Les Patriotes,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_florian_philippot.png
Yannick Jadot,20211105_hi,7.6478,10.3522,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
François Asselineau,20211105_hi,0,0,19,Union populaire républicaine,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_francois_asselineau.png
Anne Hidalgo,20211105_hi,3.0741,4.9259,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
Eric Zemmour,20211105_hi,17.1465,20.8535,3,Sans étiquette,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_eric_zemmour.png
Nathalie Arthaud,20211105_hi,0.5299,1.4701,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Emmanuel Macron,20211105_hi,21.9821,26.0179,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Marine Le Pen,20211105_hi,13.3129,16.6871,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Michel Barnier,20211105_hi,8.5826,11.4174,7,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_michel_barnier.png
Jean-Luc Mélenchon,20211105_hi,8.5826,11.4174,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Philippe Poutou,20211105_hi,0.5299,1.4701,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Nicolas Dupont-Aignan,20211105_hi,1.3385,2.6615,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
Arnaud Montebourg,20211105_hi,1.3385,2.6615,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
Fabien Roussel,20211105_hi,1.3385,2.6615,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
Jean Lassalle,20211105_hi,0,0,18,Résistons,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_lassalle.png
Yannick Jadot,20211105_hi,7.6478,10.3522,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
Fabien Roussel,20211105_hi,1.3385,2.6615,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
Nathalie Arthaud,20211105_hi,0.5299,1.4701,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Jean Lassalle,20211105_hi,0,0,18,Résistons,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_lassalle.png
Florian Philippot,20211105_hi,0.5299,1.4701,16,Les Patriotes,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_florian_philippot.png
Anne Hidalgo,20211105_hi,3.0741,4.9259,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
Arnaud Montebourg,20211105_hi,1.3385,2.6615,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
Marine Le Pen,20211105_hi,14.2679,17.7321,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Eric Zemmour,20211105_hi,16.1848,19.8152,3,Sans étiquette,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_eric_zemmour.png
Jean-Luc Mélenchon,20211105_hi,8.5826,11.4174,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Philippe Poutou,20211105_hi,0.5299,1.4701,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Valérie Pécresse,20211105_hi,8.5826,11.4174,5,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_valerie_pecresse.png
Nicolas Dupont-Aignan,20211105_hi,1.3385,2.6615,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
François Asselineau,20211105_hi,0,0,19,Union populaire républicaine,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_francois_asselineau.png
Emmanuel Macron,20211105_hi,21.9821,26.0179,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Eric Zemmour,20211105_hi,16.1848,19.8152,3,Sans étiquette,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_eric_zemmour.png
Fabien Roussel,20211105_hi,1.3385,2.6615,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
François Asselineau,20211105_hi,0,0,19,Union populaire républicaine,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_francois_asselineau.png
Emmanuel Macron,20211105_hi,21.0117,24.9883,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Jean-Luc Mélenchon,20211105_hi,8.5826,11.4174,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Nathalie Arthaud,20211105_hi,0.5299,1.4701,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Marine Le Pen,20211105_hi,13.3129,16.6871,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Arnaud Montebourg,20211105_hi,1.3385,2.6615,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
Nicolas Dupont-Aignan,20211105_hi,0.5299,1.4701,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
Xavier Bertrand,20211105_hi,12.3606,15.6394,4,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_xavier_bertrand.png
Florian Philippot,20211105_hi,0.5299,1.4701,16,Les Patriotes,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_florian_philippot.png
Philippe Poutou,20211105_hi,0.5299,1.4701,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Yannick Jadot,20211105_hi,6.7182,9.2818,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
Anne Hidalgo,20211105_hi,3.0741,4.9259,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
Jean Lassalle,20211105_hi,0,0,18,Résistons,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_lassalle.png
Fabien Roussel,20211110_elb,1.1056,2.8944,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
Anne Hidalgo,20211110_elb,4.4829,7.5171,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
Philippe Poutou,20211110_elb,0.3644,1.6356,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Philippe Juvin,20211110_elb,2.7482,5.2518,11,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_juvin.png
Jean-Luc Mélenchon,20211110_elb,7.1718,10.8282,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Florian Philippot,20211110_elb,0.3644,1.6356,16,Les Patriotes,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_florian_philippot.png
Emmanuel Macron,20211110_elb,26.1012,31.8988,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
François Asselineau,20211110_elb,0.3644,1.6356,19,Union populaire républicaine,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_francois_asselineau.png
Nathalie Arthaud,20211110_elb,0.3644,1.6356,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Marine Le Pen,20211110_elb,15.5457,20.4543,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Arnaud Montebourg,20211110_elb,1.1056,2.8944,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
Yannick Jadot,20211110_elb,6.2669,9.7331,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
Nicolas Dupont-Aignan,20211110_elb,1.1056,2.8944,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
Eric Zemmour,20211110_elb,12.7189,17.2811,3,Sans étiquette,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_eric_zemmour.png
Jean Lassalle,20211110_elb,0.3644,1.6356,18,Résistons,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_lassalle.png
François Asselineau,20211110_elb,0.0545,0.9455,19,Union populaire républicaine,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_francois_asselineau.png
Anne Hidalgo,20211110_elb,3.6234,6.3766,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
Yannick Jadot,20211110_elb,5.3885,8.6115,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
Philippe Poutou,20211110_elb,1.1157,2.8843,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Jean Lassalle,20211110_elb,0.3716,1.6284,18,Résistons,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_lassalle.png
Marine Le Pen,20211110_elb,14.6275,19.3725,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Arnaud Montebourg,20211110_elb,1.1157,2.8843,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
Jean-Luc Mélenchon,20211110_elb,6.2865,9.7135,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Emmanuel Macron,20211110_elb,22.2651,27.7349,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Florian Philippot,20211110_elb,0.0545,0.9455,16,Les Patriotes,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_florian_philippot.png
Eric Zemmour,20211110_elb,11.8084,16.1916,3,Sans étiquette,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_eric_zemmour.png
Fabien Roussel,20211110_elb,1.1157,2.8843,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
Nicolas Dupont-Aignan,20211110_elb,1.1157,2.8843,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
Nathalie Arthaud,20211110_elb,0.3716,1.6284,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Xavier Bertrand,20211110_elb,10.8759,15.1241,4,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_xavier_bertrand.png
Nathalie Arthaud,20211110_elb,0.368,1.632,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Philippe Poutou,20211110_elb,1.1107,2.8893,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Eric Zemmour,20211110_elb,11.796,16.204,3,Sans étiquette,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_eric_zemmour.png
François Asselineau,20211110_elb,0,0,19,Union populaire républicaine,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_francois_asselineau.png
Jean-Luc Mélenchon,20211110_elb,6.2768,9.7232,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Fabien Roussel,20211110_elb,1.1107,2.8893,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
Valérie Pécresse,20211110_elb,9.0126,12.9874,5,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_valerie_pecresse.png
Jean Lassalle,20211110_elb,0.052,0.948,18,Résistons,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_lassalle.png
Nicolas Dupont-Aignan,20211110_elb,1.1107,2.8893,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
Anne Hidalgo,20211110_elb,3.6156,6.3844,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
Emmanuel Macron,20211110_elb,24.18,29.82,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Arnaud Montebourg,20211110_elb,1.1107,2.8893,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
Yannick Jadot,20211110_elb,5.3793,8.6207,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
Marine Le Pen,20211110_elb,15.5597,20.4403,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Florian Philippot,20211110_elb,0.052,0.948,16,Les Patriotes,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_florian_philippot.png
Jean-Luc Mélenchon,20211110_elb,6.2865,9.7135,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Emmanuel Macron,20211110_elb,25.1641,30.8359,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Florian Philippot,20211110_elb,0.0545,0.9455,16,Les Patriotes,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_florian_philippot.png
Anne Hidalgo,20211110_elb,3.6234,6.3766,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
Eric Zemmour,20211110_elb,10.8759,15.1241,3,Sans étiquette,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_eric_zemmour.png
Philippe Poutou,20211110_elb,1.1157,2.8843,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Jean Lassalle,20211110_elb,0.3716,1.6284,18,Résistons,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_lassalle.png
Michel Barnier,20211110_elb,7.1925,10.8075,7,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_michel_barnier.png
Marine Le Pen,20211110_elb,15.5734,20.4266,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Nathalie Arthaud,20211110_elb,0.3716,1.6284,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Nicolas Dupont-Aignan,20211110_elb,1.1157,2.8843,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
Arnaud Montebourg,20211110_elb,1.1157,2.8843,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
Yannick Jadot,20211110_elb,6.2865,9.7135,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
François Asselineau,20211110_elb,0.0545,0.9455,19,Union populaire républicaine,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_francois_asselineau.png
Fabien Roussel,20211110_elb,1.1157,2.8843,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
François Asselineau,20211110_elb,0.3644,1.6356,19,Union populaire républicaine,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_francois_asselineau.png
Jean Lassalle,20211110_elb,0.3644,1.6356,18,Résistons,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_lassalle.png
Florian Philippot,20211110_elb,0.3644,1.6356,16,Les Patriotes,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_florian_philippot.png
Yannick Jadot,20211110_elb,6.2669,9.7331,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
Emmanuel Macron,20211110_elb,27.0725,32.9275,1,La République en marche,CENT,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_emmanuel_macron.png
Eric Ciotti,20211110_elb,3.6077,6.3923,10,Les Républicains,DROI,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_eric_ciotti.png
Arnaud Montebourg,20211110_elb,1.1056,2.8944,13,Sans étiquette,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_arnaud_montebourg.png
Eric Zemmour,20211110_elb,12.7189,17.2811,3,Sans étiquette,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_eric_zemmour.png
Jean-Luc Mélenchon,20211110_elb,6.2669,9.7331,6,La France insoumise,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_luc-melenchon.png
Anne Hidalgo,20211110_elb,3.6077,6.3923,9,Parti socialiste,GAUC,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_anne_hidalgo.png
Nicolas Dupont-Aignan,20211110_elb,1.1056,2.8944,12,Debout la France,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nicolas_dupont_aignan.png
Marine Le Pen,20211110_elb,14.6004,19.3996,2,Rassemblement national,EXDR,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_marine_le_pen.png
Fabien Roussel,20211110_elb,1.1056,2.8944,14,Lutte ouvrière,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_fabien_roussel.png
Nathalie Arthaud,20211110_elb,0.3644,1.6356,17,Parti communiste français,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_nathalie_arthaud.png
Philippe Poutou,20211110_elb,1.1056,2.8944,15,Nouveau parti anticapitaliste,EXGA,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_philippe_poutou.png
Yannick Jadot,20211123_elb,6.2237,9.7763,8,Europe Ecologie-Les Verts,ECO,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_yannick_jadot.png
Jean Lassalle,20211123_elb,0.3485,1.6515,18,Résistons,DIV,https://www.francetvinfo.fr/docs/desk3/candidat-tracker/2021_10_11_jean_lassalle.png
